product_name,category,star_rating,review_title,review_text,helpful_votes,total_votes,verified_purchase,cognitive_label,source_file,marketplace,customer_id,review_id,product_id,product_parent,vine,review_date,review_text_clean,product_name_clean,input_text,word_count,exclamation_count,question_count,s1_keyword_hits,s2_keyword_hits,emotional_ratio,rational_ratio,star_rating_clean,sentiment_compound,sentiment_pos,sentiment_neg
Bose SoundTrue Headphones On-Ear Style,Electronics,3.0,"I have the Bose SoundTrue In-Ear Headphones as well and I love them, they sound amazing","Sound is ok but it was way too small. Doesn't really cover the ear and if you listen with the highest volume you will disturb people around you. I didn't use and sold it to someone else. I have the  Bose SoundTrue In-Ear Headphones as well and I love them, they sound amazing. But i was kinda disappointed with this one. I wouldn't recommend it.",0.0,0.0,Y,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,"Sound is ok but it was way too small. Doesn't really cover the ear and if you listen with the highest volume you will disturb people around you. I didn't use and sold it to someone else. I have the Bose SoundTrue In-Ear Headphones as well and I love them, they sound amazing. But i was kinda disappointed with this one. I wouldn't recommend it.",,"PRODUCT: . REVIEW: Sound is ok but it was way too small. Doesn't really cover the ear and if you listen with the highest volume you will disturb people around you. I didn't use and sold it to someone else. I have the Bose SoundTrue In-Ear Headphones as well and I love them, they sound amazing. But i was kinda disappointed with this one. I wouldn't recommend it.",68,0,0,2,0,0.0294,0.0,3.0,0.7449,0.19,0.124
AmazonBasics Ultra Thin Indoor HDTV Antenna,Electronics,3.0,Three Stars,It is okay the same as the clear tv brand,0.0,0.0,Y,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,It is okay the same as the clear tv brand,,PRODUCT: . REVIEW: It is okay the same as the clear tv brand,13,0,0,0,0,0.0,0.0,3.0,0.5423,0.31,0.0
Monoprice 102683 25-Feet RG6 RCA CL2 Rated Digital Coaxial Audio Cable,Electronics,4.0,Quality cable!,"Good quality cable, plenty long enough for my needs.",0.0,1.0,Y,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,"Good quality cable, plenty long enough for my needs.",Monoprice 102683 25-Feet RG6 RCA CL2 Rated Digital Coaxial Audio Cable,"PRODUCT: Monoprice 102683 25-Feet RG6 RCA CL2 Rated Digital Coaxial Audio Cable. REVIEW: Good quality cable, plenty long enough for my needs.",22,0,0,0,0,0.0,0.0,4.0,0.4404,0.121,0.0
"Symphonized Nrg Premium Wood Noise-Isolating Headphones with Mic, White",Electronics,1.0,I have tried them and they are no good.,They will tell you that their original value is $100.00,0.0,0.0,Y,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,They will tell you that their original value is $100.00,"Symphonized Nrg Premium Wood Noise-Isolating Headphones with Mic, White","PRODUCT: Symphonized Nrg Premium Wood Noise-Isolating Headphones with Mic, White. REVIEW: They will tell you that their original value is $100.00",21,0,0,0,0,0.0,0.0,1.0,0.5719,0.198,0.0
Dragonpad Protection Carrying Hard Case/Bag for Monster Dr Dre Beats Solo/Studio Headphone,Electronics,2.0,Two Stars,does not fir my headphones like the ad said it would.,0.0,0.0,Y,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,does not fir my headphones like the ad said it would.,Dragonpad Protection Carrying Hard Case Bag for Monster Dr Dre Beats Solo Studio Headphone,PRODUCT: Dragonpad Protection Carrying Hard Case Bag for Monster Dr Dre Beats Solo Studio Headphone. REVIEW: does not fir my headphones like the ad said it would.,27,0,0,0,0,0.0,0.0,2.0,0.2732,0.087,0.048
"Pet Ultimates Probiotics for Dogs, 137 grams",Pet Products,3.0,still itchy,I was recommended this product by a friendwhose dog has hot spots and itchy skin. it had worked fantastically for them. so far after nearly a month my dog hasn't had that good luck he is still itchy. but a probiotic has to do some overall good and we will keep trying,1.0,2.0,Y,1,amazon_reviews_us_Pet_Products_v1_00.tsv,,,,,,,,I was recommended this product by a friendwhose dog has hot spots and itchy skin. it had worked fantastically for them. so far after nearly a month my dog hasn't had that good luck he is still itchy. but a probiotic has to do some overall good and we will keep trying,,PRODUCT: . REVIEW: I was recommended this product by a friendwhose dog has hot spots and itchy skin. it had worked fantastically for them. so far after nearly a month my dog hasn't had that good luck he is still itchy. but a probiotic has to do some overall good and we will keep trying,55,0,0,0,0,0.0,0.0,3.0,-0.5442,0.061,0.143
VERY100 Holographic Reflex 4 Reticle Red/Green Dot Sight Scope 21mm Rail Mount (Tan),Sports,4.0,The choice between 4 different reticles is fantastic. The horizontal aiming adjustments aren't snug so the ...,"It has the red and green colors at 5 different brightness settings (hard to tell between them, they are all quite bright, maybe it's from the fresh battery?). The choice between 4 different reticles is fantastic. The horizontal aiming adjustments aren't snug so the top part can slide left and right (it holds in place unless you push it lightly) because it uses a spring. Looks great, but the paint strips off somewhat easily (like when tightening the battery compartment). Basically, don't rub it against edges and it'll be fine. Grips the rail just fine, locks in place with one bolt making it quick and easy to adjust. What more could you ask for? Works extremely well on airsoft rails.",1.0,1.0,Y,0,amazon_reviews_us_Sports_v1_00.tsv_S2,US,143969.0,R3FG1G6JY3GMVK,B00K5N0R4Q,468137281.0,N,2015-08-24,"It has the red and green colors at 5 different brightness settings hard to tell between them, they are all quite bright, maybe it's from the fresh battery? . The choice between 4 different reticles is fantastic. The horizontal aiming adjustments aren't snug so the top part can slide left and right it holds in place unless you push it lightly because it uses a spring. Looks great, but the paint strips off somewhat easily like when tightening the battery compartment . Basically, don't rub it against edges and it'll be fine. Grips the rail just fine, locks in place with one bolt making it quick and easy to adjust. What more could you ask for? Works extremely well on airsoft rails.",VERY100 Holographic Reflex 4 Reticle Red Green Dot Sight Scope 21mm Rail Mount Tan,"PRODUCT: VERY100 Holographic Reflex 4 Reticle Red Green Dot Sight Scope 21mm Rail Mount Tan. REVIEW: It has the red and green colors at 5 different brightness settings hard to tell between them, they are all quite bright, maybe it's from the fresh battery? . The choice between 4 different reticles is fantastic. The horizontal aiming adjustments aren't snug so the top part can slide left and right it holds in place unless you push it lightly because it uses a spring. Looks great, but the paint strips off somewhat easily like when tightening the battery compartment . Basically, don't rub it against edges and it'll be fine. Grips the rail just fine, locks in place with one bolt making it quick and easy to adjust. What more could you ask for? Works extremely well on airsoft rails.",138,0,2,0,0,0.0,0.0,4.0,0.9748,0.195,0.008
BEKDO Womens 3/4 Roll-up Sleeve Utility Chambray Button Down Denim Romper,Apparel,4.0,Very good buy! I ordered a size 12 and it ...,"Very good buy! I ordered a size 12 and it fitted excellent. However,  I ordered a gray romper and I got a blue. There must have been a mistake and anothet thing I thought the material was a bit firmer.",1.0,1.0,Y,1,amazon_reviews_us_Apparel_v1_00.tsv,,,,,,,,"Very good buy! I ordered a size 12 and it fitted excellent. However, I ordered a gray romper and I got a blue. There must have been a mistake and anothet thing I thought the material was a bit firmer.",BEKDO Womens 3 4 Roll-up Sleeve Utility Chambray Button Down Denim Romper,"PRODUCT: BEKDO Womens 3 4 Roll-up Sleeve Utility Chambray Button Down Denim Romper. REVIEW: Very good buy! I ordered a size 12 and it fitted excellent. However, I ordered a gray romper and I got a blue. There must have been a mistake and anothet thing I thought the material was a bit firmer.",54,1,0,0,0,0.0,0.0,4.0,0.6989,0.145,0.048
"Analogix Semiconductor SP1004 Slimport to HDMI Adapter for Amazon Fire, Blackberry Passport, Nexus 5, LG G3",Electronics,3.0,"My SP1004 was unstable. With a HDMI shielded cable, works fine, but apparently only 720 HD","The SP1004 unit that I received is faulty. It transmits video with its audio, but every 3 or 4 minutes the signal is lost for a few seconds and then the transmission recovers. So the device is basically useless to do what I intend to do which is turning my LG G3 into a media center for videos.<br /><br />The representative from (Demandport? or Analogix) says that:<br />&quot;To ensure you have a genuine Analogix Slimport SP1004, there are several conditions that must be met, among others:<br /><br />- The adapter itself must have &quot;Full HD&quot; printed on it.<br />- The packaging must indicate that it is an SP1004.&quot;<br /><br />And that: &quot;Demandport is the sole distributor of original Slimport products.&quot;<br /><br />My SP1004 unit complies with the conditions of being &quot;authentic&quot; because it has &quot;Full HD&quot; and &quot;SP1004&quot; printed, and because I indeed bought the device from Demandport. And in spite of that, I got a defective adapter.<br /><br />I'm located outside the U.S., so for me, returning the unit is actually more expensive than buying another one from scratch! So I'm bound to try a lucky shot by buying another SP1004 from Demandport, and I expect that this time the unit will be OK and just work flawlessly.<br />If the second one also comes faulty, I expect a full refund for both units, or at least two SP1004 devices that work perfectly, no matter if I have to spend even more money sending the devices to the location in the U.S.<br /><br />Update for 2017: Fortunately, I did not threw away my unit because recently, I decided to give it a try just out of frustration. And... surprise! It worked and wasn't unstable! The radical difference was that this time I used a top quality hdmi cable, which is probably shielded inside. It turns out that the device connected to my LG G3 is very sensitive to electric noise. One additional comment: The quality of the transmitted image appears to be 720HD. I was expecting full HD (1920x1080) because the LG G3 phone has a 2K screen. Can anyone clarify what's the actual definition of the transmitted video?",0.0,1.0,Y,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,"The SP1004 unit that I received is faulty. It transmits video with its audio, but every 3 or 4 minutes the signal is lost for a few seconds and then the transmission recovers. So the device is basically useless to do what I intend to do which is turning my LG G3 into a media center for videos. The representative from Demandport? or Analogix says that quot To ensure you have a genuine Analogix Slimport SP1004, there are several conditions that must be met, among others - The adapter itself must have quot Full HD quot printed on it. - The packaging must indicate that it is an SP1004. quot And that quot Demandport is the sole distributor of original Slimport products. quot My SP1004 unit complies with the conditions of being quot authentic quot because it has quot Full HD quot and quot SP1004 quot printed, and because I indeed bought the device from Demandport. And in spite of that, I got a defective adapter. I'm located outside the U.S., so for me, returning the unit is actually more expensive than buying another one from scratch! So I'm bound to try a lucky shot by buying another SP1004 from Demandport, and I expect that this time the unit will be OK and just work flawlessly. If the second one also comes faulty, I expect a full refund for both units, or at least two SP1004 devices that work perfectly, no matter if I have to spend even more money sending the devices to the location in the U.S. Update for 2017 Fortunately, I did not threw away my unit because recently, I decided to give it a try just out of frustration. And... surprise! It worked and wasn't unstable! The radical difference was that this time I used a top quality hdmi cable, which is probably shielded inside. It turns out that the device connected to my LG G3 is very sensitive to electric noise. One additional comment The quality of the transmitted image appears to be 720HD. I was expecting full HD 1920x1080 because the LG G3 phone has a 2K screen. Can anyone clarify what's the actual definition of the transmitted video?","Analogix Semiconductor SP1004 Slimport to HDMI Adapter for Amazon Fire, Blackberry Passport, Nexus 5, LG G3","PRODUCT: Analogix Semiconductor SP1004 Slimport to HDMI Adapter for Amazon Fire, Blackberry Passport, Nexus 5, LG G3. REVIEW: The SP1004 unit that I received is faulty. It transmits video with its audio, but every 3 or 4 minutes the signal is lost for a few seconds and then the transmission recovers. So the device is basically useless to do what I intend to do which is turning my LG G3 into a media center for videos. The representative from Demandport? or Analogix says that quot To ensure you have a genuine Analogix Slimport SP1004, there are several conditions that must be met, among others - The adapter itself must have quot Full HD quot printed on it. - The packaging must indicate that it is an SP1004. quot And that quot Demandport is the sole distributor of original Slimport products. quot My SP1004 unit complies with the conditions of being quot authentic quot because it has quot Full HD quot and quot SP1004 quot printed, and because I indeed bought the device from Demandport. And in spite of that, I got a defective adapter. I'm located outside the U.S., so for me, returning the unit is actually more expensive than buying another one from scratch! So I'm bound to try a lucky shot by buying another SP1004 from Demandport, and I expect that this time the unit will be OK and just work flawlessly. If the second one also comes faulty, I expect a full refund for both units, or at least two SP1004 devices that work perfectly, no matter if I have to spend even more money sending the devices to the location in the U.S. Update for 2017 Fortunately, I did not threw away my unit because recently, I decided to give it a try just out of frustration. And... surprise! It worked and wasn't unstable! The radical difference was that this time I used a top quality hdmi cable, which is probably shielded inside. It turns out that the device connected to my LG G3 is very sensitive to electric noise. One additional comment The quality of",350,3,1,2,0,0.0057,0.0,3.0,0.5409,0.089,0.077
"niceEshop(TM) HDMI 2 in 1 T Adapter Connector Female to Mini HDMI Male and Micro HDMI Male Adapter,Black",Electronics,5.0,This is a handy little HDMI adaptor. I use it with my TW 700 tablet.,"This is a handy little HDMI adaptor. I use it with my TW 700 tablet when I need it to connect to a HDMI device. One note, the adaptor would work better if it was rotated 180 degrees, the MicroHDMI, so the other in/out puts were not blocked. For price it's a great buy.",0.0,0.0,Y,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,"This is a handy little HDMI adaptor. I use it with my TW 700 tablet when I need it to connect to a HDMI device. One note, the adaptor would work better if it was rotated 180 degrees, the MicroHDMI, so the other in out puts were not blocked. For price it's a great buy.","niceEshop TM HDMI 2 in 1 T Adapter Connector Female to Mini HDMI Male and Micro HDMI Male Adapter,Black","PRODUCT: niceEshop TM HDMI 2 in 1 T Adapter Connector Female to Mini HDMI Male and Micro HDMI Male Adapter,Black. REVIEW: This is a handy little HDMI adaptor. I use it with my TW 700 tablet when I need it to connect to a HDMI device. One note, the adaptor would work better if it was rotated 180 degrees, the MicroHDMI, so the other in out puts were not blocked. For price it's a great buy.",76,0,0,0,0,0.0,0.0,5.0,0.8322,0.119,0.0
"The Chalk Block - Gym Chalk for Gymnastics, Lifting, and Climbing (1 lb. - 8 Blocks)",Sports,5.0,Good chalk for sports,"My son has recently added weight lifting to  his normal exercise routine. We've used chalk for bowling and other sports before, but weightlifting requires a bit more chalk than bowling, so I was happy to find the Quiverr Chalk Block for him to try.<br /><br />This chalk comes in a nice size block and is wrapped in paper to avoid the powder making a huge mess.  It's a nice texture that keeps your hands dry and allows a good grip.<br /><br />If you work out,  do gymnastics, do rock climbing, or a similar sport, you really do need to keep chalk on you and this brand is one of the best.  I recommend trying the Quiverr Chalk Block.<br /><br />I received this at a reduced price or free in exchange for an honest review. The opinions expressed are entirely my own",0.0,0.0,N,0,amazon_reviews_us_Sports_v1_00.tsv_S2,US,44213187.0,R2S54UOAA8XYXW,B00V5848CC,785724600.0,N,2015-07-29,"My son has recently added weight lifting to his normal exercise routine. We've used chalk for bowling and other sports before, but weightlifting requires a bit more chalk than bowling, so I was happy to find the Quiverr Chalk Block for him to try. This chalk comes in a nice size block and is wrapped in paper to avoid the powder making a huge mess. It's a nice texture that keeps your hands dry and allows a good grip. If you work out, do gymnastics, do rock climbing, or a similar sport, you really do need to keep chalk on you and this brand is one of the best. I recommend trying the Quiverr Chalk Block. I received this at a reduced price or free in exchange for an honest review. The opinions expressed are entirely my own","The Chalk Block - Gym Chalk for Gymnastics, Lifting, and Climbing 1 lb. - 8 Blocks","PRODUCT: The Chalk Block - Gym Chalk for Gymnastics, Lifting, and Climbing 1 lb. - 8 Blocks. REVIEW: My son has recently added weight lifting to his normal exercise routine. We've used chalk for bowling and other sports before, but weightlifting requires a bit more chalk than bowling, so I was happy to find the Quiverr Chalk Block for him to try. This chalk comes in a nice size block and is wrapped in paper to avoid the powder making a huge mess. It's a nice texture that keeps your hands dry and allows a good grip. If you work out, do gymnastics, do rock climbing, or a similar sport, you really do need to keep chalk on you and this brand is one of the best. I recommend trying the Quiverr Chalk Block. I received this at a reduced price or free in exchange for an honest review. The opinions expressed are entirely my own",156,0,0,1,0,0.0064,0.0,5.0,0.9666,0.204,0.114
Caribbean Joe Women's Cotton Argyle Sweater,Apparel,4.0,"Lovely,  though snug","Lovely sweater, though a bit snug; however, it fit another daughter who I passed it on to.  Very soft.",0.0,0.0,Y,1,amazon_reviews_us_Apparel_v1_00.tsv,,,,,,,,"Lovely sweater, though a bit snug however, it fit another daughter who I passed it on to. Very soft.",,"PRODUCT: . REVIEW: Lovely sweater, though a bit snug however, it fit another daughter who I passed it on to. Very soft.",22,0,0,1,0,0.0455,0.0,4.0,0.743,0.27,0.0
Beats Tour 2.0 In- Ear Headphone,Electronics,3.0,Three Stars,They had some static - used in-ear headphones,0.0,0.0,Y,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,They had some static - used in-ear headphones,,PRODUCT: . REVIEW: They had some static - used in-ear headphones,11,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0
Classic Easter Basket,Grocery,1.0,So disappointed I am contacting AMAZON CS,So disappointed I am contacting AMAZON CS! This is pathetic! Mud/dirt in the basket that my daughter ATE thinking it was chocolate & NO FUZZY BUNNY FOR MY LITTLE GIRL!! Unbelievable!,6.0,6.0,Y,1,amazon_reviews_us_Grocery_v1_00.tsv,,,,,,,,So disappointed I am contacting AMAZON CS! This is pathetic! Mud dirt in the basket that my daughter ATE thinking it was chocolate NO FUZZY BUNNY FOR MY LITTLE GIRL!! Unbelievable!,,PRODUCT: . REVIEW: So disappointed I am contacting AMAZON CS! This is pathetic! Mud dirt in the basket that my daughter ATE thinking it was chocolate NO FUZZY BUNNY FOR MY LITTLE GIRL!! Unbelievable!,34,5,0,0,0,0.0,0.0,1.0,-0.8733,0.105,0.307
"Zeimax Q38i Super Bass Inear Headphone Earphone Headset For Apple iPhone 6 / 6 Plus / 5 / 5S /5C, HTC One (E8), One (M8), Samsung Galaxy S5 Android Smartphone (Black)",Electronics,1.0,One Star,"Exposed to very little water and all the bass wad completely gone, very expensive and very little volume...",0.0,1.0,Y,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,"Exposed to very little water and all the bass wad completely gone, very expensive and very little volume...","Zeimax Q38i Super Bass Inear Headphone Earphone Headset For Apple iPhone 6 6 Plus 5 5S 5C, HTC One E8 , One M8 , Samsung Galaxy S5 Android Smartphone Black","PRODUCT: Zeimax Q38i Super Bass Inear Headphone Earphone Headset For Apple iPhone 6 6 Plus 5 5S 5C, HTC One E8 , One M8 , Samsung Galaxy S5 Android Smartphone Black. REVIEW: Exposed to very little water and all the bass wad completely gone, very expensive and very little volume...",50,0,0,0,0,0.0,0.0,1.0,0.7739,0.14,0.026
