product_name,category,star_rating,review_title,review_text,helpful_votes,total_votes,verified_purchase,cognitive_label,source_file,marketplace,customer_id,review_id,product_id,product_parent,vine,review_date
"Maybelline EyeStudio Master Precise Liquid Eyeliner Ink Pen, Black [110], 1 ea",Beauty,1.0,DON'T BUY! SMEARS INSTANTLY!,"Terrible! I have oily lids so I figured after 5-6 hours it would start transferring to my lower lids but for the price, I decided to give it a try. Ugh...bad mistake! After applying it, it was only 30 minutes and I looked like I had dark circles below my eyes and had worn the eyeliner all day! Never again! I want a refund!",0.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"TRESSMATCH 16""-18"" Remy Human Hair Clip in Extensions Thick to Ends Black Brown Blonde Highlights 9 Pieces(pcs) Full Head Set [set weight:4.4oz/125grams) …",Beauty,1.0,Painful to wear,clips are very thick and heavy. Painful to wear.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
FOCUS 21 Sea Plasma All Purpose Skin and Hair Moisturizing 32 oz,Beauty,1.0,"Not the product that I used to love. I got an allergic reaction to it, unfortunately","This was a product I used to love in the 1980s. The scent, the crisp feeling, and all that. But something has happened or changed since them. This time around, when I used it once, I had an allergic reaction to it. Very unfortunate. Also my girlfriend, who loves the smell of sea salts and such, could not stand to be around me when I had it on. The scent made her gag for some reason. I don't know what's changed, but I hope the company can find the original formula... OR, we simply have acquired an allergy to something inside this product. I wish I could use it again.",0.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Kirkland Minoxidil 5 percent Extra Strength Hair Regrowth for Men,Beauty,1.0,the bottles and liquid must of have been at 85 degrees to 90 degrees which probably renders the solution no good..,Delivered product was burning hot from the sun when delivered ... storage requirements are 66 to 77 degrees Fahrenheit ... the bottles and liquid must of have been at 85 degrees to 90 degrees which probably renders the solution no good ... and 3 to 5 day Prime Shipping?!  Bunch of BS.,0.0,2.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Garnier SkinActive Clean+ Blackhead Eliminating Acne Treatment Scrub, Oily Skin, 5 fl. oz.",Beauty,1.0,Do Not buy if you love your face .,This stuff ruined my skin. Before using the product i had little to zero blemishes. My intention on using this was specifically for my blackheads because they were pretty bad. At first it was fine when i was using the product but when i forgot to use it my skin broke out super bad. I had hard blemishes all over my face. So i stopped using it and i got even more. So now I'm just gonna buy clearsil and gently exfoliate my skin while it recovers.,2.0,2.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
DasGro Hair Formula: All-Natural Hair Growth Vitamins For Men & Women,Beauty,1.0,DasNotGro,DasGro Hair Formula tablets did nothing to thicken my hair.  The tablets in two of the three bottles were swollen and cracked as if they had been in a very humid environment and not in dry Arizona where I live.,5.0,27.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"GiGi No Bump Body Scrub with Salicylic Acid for Ingrown Hair & Razor Burns, 6 oz",Beauty,1.0,It didn't make any difference for my skin and it feels like jelly. STAY AWAY,This is gross! It didn't make any difference for my skin and it feels like jelly. STAY AWAY. It stinks so bad. Will NOT repurchase this item,1.0,2.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
DragonPad 32 Pcs Black Rod Makeup Brush Cosmetic Set Kit with Case,Beauty,1.0,DO NOT BUY,I am BEYOND upset and disappointed! I'm missing 3 brushes and the brushes that did come are flat rough thin and look nothing like the pictures ! I thought I was getting a great deal for these brushes but I did not! SO SAD :(,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Maybelline New York Eye Studio Master Smoky Shadow Pencil, Smoldering Violet, 0.018 Ounce (Pack of 2)",Beauty,1.0,One Star,Didn't like it. It pulled and didn't apply smoothly or evenly.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
DERMELECT COSMECEUTICALS Me Peptide Infused Nail Color (Persuasive) 0.4oz,Beauty,1.0,NO,This is bad stuff.  I called for help but they said the info said you had to do a top coat before this watery stuff and a top coat.  I got no instructions.  Again you cannot return nail polish so $$ wasted.,0.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Sigma Beauty Performance Eyes Kit,Beauty,1.0,Poor quality!!,"Unfortunately, I did not like this product; I had to return it because it wasn't what I expected.",3.0,3.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Maybelline New York Face Studio Master Prime Makeup,Beauty,1.0,No good,Didn't do anything for my skin.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Pure Amla Oil For Hair (Indian Gooseberry) 4 ounces packaged in Amber Glass...No Fillers, Mineral Oils, Or Synthetics",Beauty,1.0,One Star,I haven't seen a change in mt hair yet...still using the product.,2.0,2.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Colgate Total Advanced Pro-shield Mouthwash Wintermint Rush 8.4 Oz Pack of 6,Beauty,1.0,Too strong,"I bought this 6 days ago because I had coupons for it. However, after the first time using it, our tongues felt &#34;burned&#34; and everything tasted funny. We didn't immediately link it to the mouthwash, but after a few days my husbands tongue feels so burned and swollen that he was having trouble talking! We had to stop using this and I'm just wondering what ingredients in the mouthwash are causing this. I let my mom try it one time just to see if it did her the same way and sure enough the next day on the phone she said her tongue felt burned and everything tastes bad. My advice, use with caution as it is VERY STRONG.",0.0,0.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Adovia Dead Sea Salt Body Scrub, 11 oz.",Beauty,1.0,One Star,"the salt is good, but it leaves you quite oily, even after soaping.",0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Sudden Change Eyebrow Shapers 18's Pre-cut Sets,Beauty,1.0,One Star,This is nothing but a piece of scotch tape on paper,0.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Pro Beauty Tools Professional Turbo Hair Dryer,Beauty,1.0,I am truly disappointed because the same exact thing happened with the one ...,"I bought this last September and it just broke. Did not last even a year! And I only truly use it to blow dry my hair straight once a week. It started with me having to wait about 30 seconds between turning it off and back on, and then in the middle of my blow dry, it wouldnt come back on. I tried different outlets, waiting longer, but nothing. Its dead! I am truly disappointed because the same exact thing happened with the one this was replacing (the white model). I gave it 2 stars only because it did a great job when it was working. I am now going to bite the bullet and spend more on a Rusk to see if it will at least last a little longer! *sadface*",1.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"CoverGirl Lashblast 24 Hour Mascara, 0.44 Fluid Ounce",Beauty,1.0,The mascara was opened when I received it and when ...,The mascara was opened when I received it and when I tried to use it it was mostly dried out!!!,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Himalaya Purifying Neem Face Wash 100 Milliliter,Beauty,1.0,One Star,The product did not even come !!!!,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Sun Laboratories Tan Overnight Self Tanning Lotion,Beauty,1.0,When product is fresh it's great! Would get rashes from other products (sensitive skin),"This product arrived green in color. Unusable. I've purchased direct from the manufacturer before but figured Amazon would be easier, now I'm returning.<br />When product is fresh it's great! Would get rashes from other products (sensitive skin). This always my tried and true, but back to ordering from LA",0.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Jean Nate After Bath Splash Mist, 8 Ounce",Beauty,1.0,Glued My Armpits Shut!,"I have very sensitive skin due to being allergic to metal. I wanted to give this deodorant a try. After applying while wearing a tank top, I went to work. As soon as I got to work and began working at my desk, I lifted my arm to get someone only to find that my arm pits were literally GLUED SHUT! I could NOT believe it! I could literally peel it off and it was extremely flaky and white. It hurt too! It was pulling my skin so hard while I was peeling it off. Maybe I could try it again and only apply an extremely small amount but it hurt so bad I really doubt that I will. I couldn't imagine if my insanely long hair got stuck in it. Ouch!",1.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
No!no! Brand New Nono Pro 5 Kit Chrome Hair Removal System,Beauty,1.0,no  no-no.,There was no no-no in the package.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Ragalta RPT-7000 Aluminum Body Facial Beauty Trimmer,Beauty,1.0,The Ragalta RPT-7000 Aluminum Body Facial Beauty Trimmer is not ...,"The Ragalta RPT-7000 Aluminum Body Facial Beauty Trimmer is not  working and I only get it today, I put in the right battery and it's still not  working. What are u guys going to do about it...",0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"#1 Blackhead & Blemish Remover Kit - Equinox Acne Treatment - 5 Professional Surgical Extractor Instruments - Easily Cure Pimples, Blackheads, Comedones, Acne, and Facial Impurities",Beauty,1.0,"This ""surgical grade"" extractor, which claims to be brand ...","This &#34;surgical grade&#34; extractor, which claims to be brand new, was rusted/eroded in several places. Had I used this on a client's face they could have developed an infection. Definitely won't be buying this type of product from Amazon again.",6.0,9.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
MUJI Makeup Facial Soft Cut Cotton Unbleached 60x50 mm 140pcs,Beauty,1.0,its fake!!!!! there are lot ...,"its fake!!!!! there are lot of dark spots on the cotton, and I cannot return it!! I just threw it away....",0.0,3.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"HSI Professional Glider | Ceramic Tourmaline Ionic Flat Iron Hair Straightener | Straightens & Curls with Adjustable Temp | Incl Glove, Pouch, & Travel Size Argan Oil Hair Treatment | Packaging Varies",Beauty,1.0,It is only good for the trash,Worthless thing I have ever ordered. It is only good for the trash!,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Andalou Naturals Deep Wrinkle Dermal Filler, 0.6 Ounces",Beauty,1.0,The product from the tube was very liquid and runny much like water at the time I opened it,"The box was not sealed. The product from the tube was very liquid and runny much like water at the time I opened it. After squeezing out a much amount of its, the rest of the product is not runny anymore. I requested a refund, but they did not approve it because of opened package; however, at the time I got it, it was not sealed and just like an old product which might be used before.<br />I have been using it a few times, no differences about improving my wrinkles yet.",4.0,5.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Uncut Alcohol Free Body Oil Baby Powder Fragrance 1/3 oz bottle with Roll on,Beauty,1.0,The baby powder oil is not at all like it use to be in the past I'm not ...,The baby powder oil is not at all like it use to be in the past I'm not happy with this one at all,1.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Bvlgari Man in Black,Beauty,1.0,FAKE!!!,Always had good luck buying from Amazon.  This product has absolutely no scent!  Alcohol and water!!  Then nothing!!  Do not waste your hard earned money!!,4.0,6.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Moonriver Beauty Angled-Tip Tweezers,Beauty,1.0,"Pssst! Want to know which tweezers really get the job done w/the least effort? Sorry Moonriver, it's not yours.","I really truly was hoping these tweezers would be THE ONE. I'd damaged my Tweezerman Perfect Slant full-size tweezers that I'd purchased at a beauty website and this is the third different brand of tweezers I've bought since to try and find a pair that gets the superfine hairs that the Tweezerman does- and when I mean superfine, I'm talking the tiny little ultra-fine eyelash hairs that and on the inside-edge of the eyelid and barely visible. They are so fine no other tweezer has been able to grab and hold them to remove them from irritating my eye. I gripped close the Moonriver tweezers are hard as I could but still the hairs slipped through. Arghh! So do these tweezers work for any coarse hairs, yeah they will, but I finally just bit the bullet and bought a replacement pair of Tweezerman Tweezers (full-size slant-edge color doesn't matter; NOT the pointed ones) and chucked the other brands (Revlon, Moonriver, etc. into the back of my drawer). Also, FYI the better grip on the Tweezerman Slant-Edge means less irritating tweezing of eyebrow hairs, etc.",2.0,3.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Body Skin Whitening radiant SPF 50 DD BB Whitening Cream,Beauty,1.0,Does not work,I was using it to lighten my elbows.  It goes on thick and white. I have had zero results.,1.0,2.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
TheraBreath Dentist Formulated PerioTherapy Healthy Gums Treatment Kit,Beauty,1.0,Dangerous Warning,This could be very dangerous product. I had only one tooth area had some problem so I bought this try to help for a &#34;healthy gum&#34;. Since it is for healthy gum I use it all over my lower gum area. About one week later my lower gum starting disappear very fast. I trusted it too much without taking any photo for before and after. Now my lower gum in a dangerous situation.,6.0,8.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Jeunesse Gloal Instantly Ageless 5 Vials (.6mL Each),Beauty,1.0,One Star,No it dont work And leaves your eyes crusty feeling.. big gimmick,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
No Scream Cream No-Trauma Momma 2 oz.,Beauty,1.0,Waxing was still pretty painful. I would try something else,Cream doesn't really relief pain. Waxing was still pretty painful. I would try something else.,2.0,2.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
It's So BIG Volumizing Mascara (Black) by Elizabeth Mott,Beauty,1.0,Disappointed!,Did not like product at all. The shape of the wand made applying the mascara difficult and messy-application was very uneven and needed to apply several coats to look like I even had mascara on. The only positives were it did not flake throughout the day and was easy to remove.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Skintimate Signature Scents Moisturizing Shave Gel for Women Raspberry Rain with Vitamin E and Olive Butter,Beauty,1.0,Sucks!!,Sucks!!! Don't waste your money. Makes your skin feel like rubber and it makes my skin so dry I end up getting a lot of cuts. The smell is awful too.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
L'Oreal Feria Power Reds Haircolor ~ Intense Deep Auburn/Red Velvet ~ R48 by N'iceshop,Beauty,1.0,Turned my hair black not red,My hair turned black! I will never buy this again. I was extremely disappointed.,0.0,1.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Andis Professional T-Outliner Beard/Hair Trimmer with T-Blade, Gray, Model GTO (04710)",Beauty,1.0,My investigation revealed that the small metal that connect to the inside blade is broken which suggest poor workmanship and inf,"I bought this Andis T Outliner in May 2015 on the recommendation of my barber here in Jamaica and positive customer's reviews on Amazon. For the first two months it worked almost perfectly except for the noise. But today August 9, 2015 I was shaving and all of a sudden it stop working. I had to use a old shaver to finish shaving. My investigation revealed that the small metal that connect to the inside blade is broken which suggest poor workmanship and inferior material. Had I not been in Jamaica I would have returned it immediately. Extremely Dissapointed",26.0,33.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Revlon Perfectweeze Tweezer,Beauty,1.0,I will be throwing this item in the garbage.,Two problems: (1) The blades don't line up. (2) &#34;This item is ineligible for return.&#34; So...I will be throwing this item in the garbage.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Maybelline New York Eyestudio Brow Define + Fill Duo Pencil, Blonde [250] 1 ea",Beauty,1.0,Too dark!,"hard to apply, doesn't go on easy, way too dark",9.0,9.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
ViVi Advanced Phototherapy Device,Beauty,1.0,Like too hot to put on your skin about 50℃,It starts getting too hot after 5 min. of use. Like too hot to put on your skin about 50℃... And I have used for 2 weeks now and don't see any change.,3.0,6.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"12pcs Multicolor Eyeshadow pencil, obmwang Eyeliner Pen Lip Liner Eye Pencil",Beauty,1.0,It was smudged all over my eyes -_- I looked like i had black eyes,"put on in the morning, by lunch time I had to take it off! It was smudged all over my eyes -_- I looked like i had black eyes. I guess you get what you pay for.",0.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
SheaMoisture 12 oz Raw Shea Butter Deep Treatment Masque,Beauty,1.0,Horrendous Hair Fall,"I have 4c grade hair and purchased this product to help with transitioning to natural hair after using chemical hair relaxers for many years. I did not purchase the product from Amazon, and so am not knocking the company (my favorite site) or the seller. But, I felt strongly that anyone should know what happened to me. I'm hoping that I am a rare case. My decision to stop using relaxers was made because over the past 6 months I've been experiencing extreme hair thinning. I used this item 2 days ago in the shower, leaving it in for about 10 minutes while I showered. I experienced SO much hair fall, it was unbelievable and very stressful. I literally was pulling handfuls of strands of hair out. This is Day 2, and I'm still losing hair like crazy. Literally pulling it out. Hoping this will stop. It's  very stressful. I've never had anything like this happen before. It was also very drying for my hair and even contributed to knotting. I'll update if the hair fall stops.",3.0,4.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"100% Real Mink Individual Eyelash Extensions ""C"" 8 Mm X .10mm",Beauty,1.0,there's no reason to sell animal fur for cosmetics,Shame on you for selling animal fur,0.0,1.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
18k Gold Plated Pink Cubic Zirconia Dangle Earrings,Beauty,1.0,One Star,I didn't like the way the stone looks.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Nail Polish Table Rack Display (Hold Up To 60 Bottles),Beauty,1.0,One Star,First one arrived no problems.  The second one arrived broke as did the replacement. ...Done,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Neutrogena Skin Clearing Mineral Powder, 0.38 Ounce",Beauty,1.0,No,"First of all, this product literally smells like skunk.  It did not clear up my face what so ever. It did not give me a natural look and it highlighted every single hair that's on my face. It's as if I didn't even put on makeup. If you want good compact powder then do yourself a favor and get Physician's Formula.",2.0,5.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
GEL Heel Socks for Dry Hard Cracked Skin Moisturising Open Toe Comfy Recovery Socks,Beauty,1.0,save your $$$,"I wear a mens size 9 shoe.  I bought the gel heel socks as &#34;one size fits all&#34;.  Regardless, WAY too tight for me.  I just threw them away.",1.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Wleec Beauty 3 Bundles Brazilian Virgin Curly Hair, Grade 5A Natural Color Virgin Human Hair Extensions",Beauty,1.0,One Star,i ordered the 14. its really short,2.0,2.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
New Lightweight Rotary Tattoo Machine (Blue),Beauty,1.0,Piece of crap,"If I could I wouldn't give this any stars. I got this product looked it over and tried using it. When I used it, it was very loud just like when I was using a regular gun and not even 2 min into a tattoo it broke on me. Will never buy another one like this again",0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"The Honest Company - Sunscreen Lotion SPF 30, 3 Fl Oz",Beauty,1.0,Does not work at all!!!!!! Beware sensitive people!!,"I live in Hawaii, I get burnt easy and have used many sunblocks so I know what I'm talking about! They had this sunscreen at Costco so I bought it. Me and my kids covered ourselves with it and all of us were feeling burned and itchy within an hour. We went home and all of us had sunburns!",3.0,3.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Goody Ouchless Flex Thin Pressure-Free Headband,Beauty,1.0,Awful - do not fit properly and one piece sticks out so you see it...,"These are awful....they do not fit on the head properly and since one side sticks out, it actually shows through the hair.  Waste of money....",0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"The Naked Bee Vitmin C Moisturizing Sunscreen SPF 30, 5.5 oz (163 ml.)",Beauty,1.0,Works great and smells wonderful,Have used this many times before and will keep using it.. Love the smell and it works great for that Fl. sun..,1.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Mitchum Advanced Anti-Perspirant & Deodorant For Men, Gel, Unscented, 3.4-Ounce Stick",Beauty,1.0,New formula is AWFUL,"After 20 years, I'm moving on to something else. This product is a watery mess as others have stated.",2.0,2.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Marilyn Brush Tuxedo Pro Brush,Beauty,1.0,100% boar bristles?,"Your information is inadequate and inaccurated  your add says that these are a 100% boar bristles brushes.  But in fact it is mostly nylon bristles.  I proved this brush for about 45seconds with the airdryer, and the bristles got burned.  Poor quality. I did not received quality product offered.",1.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"PURA D'OR Healing Conditioner Lavender Vanilla Shine Enhancing Organic Argan Oil, 16 Fl Oz",Beauty,1.0,Tangled mess,"I bought this along with the matching gold shampoo for thinning hair.  I could tell that the shampoo really cleaned my hair and it felt pretty dry afterwards, so I used a lot of this conditioner.  It does not have the slippery feeling.  When I got out I could not even comb my hair.  I had tangles everywhere.  I had to use a ton of leave in conditioner just to get it combed out . The next time I used it, I added some of my old bumble and bumble conditioner with it, to see if that would help.  Better, but still tangled, I had to add oil to get tangles combed out.  I do not have this problem with other conditioners I have used.  Some work better than others, but nothing this bad.  I will try the idea left below to use this as a leave in conditioner.  I tried to contact the seller to return it, but I got no reply.  Waste of $20.  I will keep using the shampoo but with a much richer conditioner.  This may work on a guy's hair, or someone with short hair.",1.0,6.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Shea Terra Organics - Rose Hips Black Soap Deep Pore Facial Wash & Mask - 4 oz.,Beauty,1.0,Smells like a ashtray,It smells like  you are washing your face with a dirty ashtray!,1.0,3.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Gelish Garden Teal Party Gel Polish, 0.5 Fluid Ounce",Beauty,1.0,I bought this and it came in the mail today ...,I bought this and it came in the mail today. When I opened it it leaked all over my hands and counter top and in having a hard time getting it off. Wasn't impressed.,6.0,6.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Colgate Phos-Flur Anti-Cavity Fluoride Rinse Mint 16 oz,Beauty,1.0,Dentist ordered me to quit using. Turns some folks teeth dark and can might not be reversable.,Supplied by orthodontist during brace work. Did not work to prevent canvities a year following brace removal. Negative one.<br />I take great care of my gums and teeth as a mature adult. Not a teenager or lacker here.<br /><br />Negative two. Dentist told me to get off this stuff immediately. It can and does turn some peoples natural teeth brown and also any cracks or surface esposure to natural teeth around dental appliances and crowns and fillings also brown which is extremely hard to remove.<br /><br />Negative two is what sent my dentist over the moon. I couldn't understand why I couldn't get rid of the darkening areas of my teeth and when cleaning the hygienist said get off this stuff if you are using it. They continue to sell it but it should be taken off the market. Not all fluride products cause this. Colgates Gem-kal does not. I am switching back to it as my extra fluride prevention now. Something to do with the type of flouride used here and maybe coupled with the inert or other ingredients which are not suppose to be active in purpose but may interact. Not all people experience this but enough that our small town dentist office is alarmed and zeros in on it pretty fast.<br /><br />Negative one...interesting I was using it after the braces were removed and not prone to cavities at all...14 years here in this town and right where the braces were attached to two teeth probably caused some surface damage and within a year the cavity took place smack in middle of side of tooth. WOW...so much for using this product every day...turned teeth brown and did not protect from cavities...two at least. So this is a warning...and heads up to anyone who might notice the teeth are turning brown or dark and you can't seem to do anything to stop it.,3.0,3.0,N,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
CRYSTAL BODY DEODORANT Spray Unscented (4 fl oz),Beauty,1.0,"Sorry, but this was no different than spraying plain water on my underarms.","I know everyone is different, so when I say this didn't work for my body, that doesn't mean it won't work for you.  First and foremost, I smelled really bad within an hour or two of using this.  It was as though I wasn't wearing deodorant at all.  I did try re-applying it during the day, but one I smelled, I smelled.  It just wasn't working.  So let's say it might work for you.  There is still the problem of application.  I sprayed this onto my airpits and hated the way it ran down my body.  I did try to spray extra when I found it wasn't working, which just meant I had more of this liquid to dry up.  So, I hate the delivery method.  Maybe the solid crystal would be less messy.  I'll never know since I can't depend of this to keep away my body odor.  Unfortunately I bought the big pack so I have many left.  I hope I can sell the unused ones for $1 at my garage sale.",5.0,6.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
L'effleur By Coty for Women -- 0.75 Oz Cologne Spray,Beauty,1.0,Did not smell like the ones I used years ago plus bottles look ...,Did not smell like the ones I used years ago plus bottles look old and used the label was dark brown all around the edges of it I would have rated this at no stars!!!!!!,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"MilkyWay Remy Human Hair Weave SAGA Brazilian Remy Yaky [14""] (1B)",Beauty,1.0,One Star,Its was the worst hair I ve ever seen.i need my refund,2.0,2.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Avon Mesmerize for Men Cologne Spray,Beauty,1.0,Knockoff,Was a knockoff.  Reimbursement was given.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
