gender_enc,age_enc,environment_enc,occupation_enc,spending_enc,culture_enc,avg_appeal_norm,emotional_reason_count,rational_reason_count,rational_check_total,emotional_check_total,cognitive_label
1.0,2.0,0.0,0.7,0.25,0.5,-0.1428571428571428,3,0,9,8,1
0.0,3.0,0.0,0.4,0.5,0.5,0.8571428571428572,3,0,9,12,1
1.0,5.0,1.0,0.4,0.25,0.0,1.0,3,1,16,6,1
1.0,2.0,0.0,0.5,0.25,0.0,-0.1428571428571428,1,1,6,6,0
0.0,1.0,0.0,0.4,0.5,0.5,0.7142857142857144,2,2,12,6,1
0.0,4.0,0.0,0.5,1.0,0.5,1.2857142857142856,0,3,11,6,0
0.0,1.0,0.0,0.7,0.25,0.0,0.7142857142857144,0,3,11,8,0
0.0,3.0,0.0,0.4,1.0,0.0,-0.2857142857142856,4,0,12,6,1
0.0,1.0,1.0,0.4,0.5,0.0,0.8571428571428572,1,1,12,4,1
0.0,1.0,0.0,0.7,0.25,0.5,0.2857142857142856,2,1,14,4,0
0.0,1.0,0.0,0.5,0.75,1.0,0.2857142857142856,3,2,15,6,0
0.0,3.0,0.0,0.5,0.25,1.0,0.5714285714285716,1,1,15,6,0
0.0,2.0,0.0,0.7,0.0,0.5,0.0,0,3,17,12,0
1.0,3.0,0.0,0.5,0.0,0.5,1.1428571428571432,3,1,12,0,1
0.0,1.0,1.0,0.7,0.5,0.0,0.7142857142857144,2,2,12,10,1
1.0,1.0,1.0,0.7,0.25,0.5,0.4285714285714284,0,1,7,4,0
0.0,2.0,0.0,0.4,0.5,0.5,1.1428571428571432,1,1,17,10,0
1.0,3.0,1.0,0.4,0.25,0.0,1.4285714285714288,1,0,7,2,1
1.0,1.0,0.0,0.4,1.0,1.0,0.4285714285714284,4,1,16,4,1
1.0,2.0,0.0,0.5,0.0,0.0,0.7142857142857144,3,3,11,2,1
1.0,3.0,0.0,0.5,0.75,0.0,0.4285714285714284,1,1,8,2,1
1.0,2.0,0.0,0.4,0.25,1.0,0.5714285714285716,3,1,10,10,1
0.0,1.0,0.0,0.5,0.0,0.5,0.0,2,1,6,4,1
0.0,3.0,1.0,0.5,0.5,0.5,0.5714285714285716,0,3,15,6,0
0.0,4.0,1.0,0.4,0.5,0.5,0.8571428571428572,3,1,12,10,1
1.0,1.0,0.0,0.5,0.75,0.5,0.4285714285714284,1,4,15,4,0
1.0,1.0,0.0,0.7,0.5,0.0,1.1428571428571432,1,0,9,8,1
1.0,1.0,1.0,0.5,0.75,0.5,0.1428571428571428,1,1,9,6,0
1.0,2.0,1.0,0.4,0.0,0.0,0.1428571428571428,0,1,6,6,0
0.0,2.0,1.0,0.5,0.75,0.5,-0.2857142857142856,2,1,8,4,0
0.0,1.0,0.0,0.4,0.75,1.0,0.2857142857142856,1,0,13,4,0
1.0,1.0,0.0,0.5,0.75,0.5,-0.2857142857142856,2,2,13,6,0
0.0,5.0,0.0,0.5,0.0,0.5,0.8571428571428572,2,4,12,8,0
0.0,2.0,1.0,0.4,0.25,0.5,0.4285714285714284,1,1,9,8,0
0.0,1.0,0.0,0.7,1.0,0.5,0.5714285714285716,3,2,16,2,0
1.0,4.0,0.0,0.5,0.75,0.5,0.7142857142857144,2,2,7,4,1
1.0,3.0,1.0,0.5,0.75,1.0,0.4285714285714284,2,2,11,4,0
0.0,2.0,0.0,0.4,0.5,0.5,0.5714285714285716,0,2,8,8,0
1.0,2.0,0.0,0.5,0.25,1.0,0.0,1,0,10,4,0
1.0,3.0,1.0,0.5,0.5,1.0,-0.1428571428571428,1,3,18,6,0
1.0,5.0,0.0,0.5,0.0,0.5,0.2857142857142856,2,0,15,4,0
1.0,3.0,0.0,0.5,0.25,0.5,0.4285714285714284,1,2,11,6,0
0.0,3.0,0.0,0.5,0.75,1.0,0.5714285714285716,3,1,13,6,1
0.0,3.0,0.0,0.4,0.5,0.0,1.0,0,1,15,12,0
0.0,3.0,0.0,0.5,0.75,0.0,0.5714285714285716,2,1,6,8,1
1.0,3.0,0.0,0.5,0.5,0.0,0.4285714285714284,1,2,17,4,0
0.0,4.0,1.0,0.5,0.25,1.0,1.0,3,1,13,6,1
1.0,1.0,0.0,0.7,0.75,0.5,1.1428571428571432,2,3,11,10,1
0.0,5.0,0.0,0.5,1.0,1.0,-0.1428571428571428,1,3,12,8,0
0.0,4.0,0.0,0.5,0.5,0.0,0.5714285714285716,2,3,14,2,0
0.0,1.0,0.0,0.7,0.25,1.0,0.2857142857142856,1,3,12,4,0
0.0,4.0,0.0,0.5,0.75,0.0,-0.4285714285714284,1,2,13,0,0
0.0,1.0,0.0,0.7,0.5,0.5,0.7142857142857144,2,0,11,6,1
1.0,3.0,1.0,0.5,1.0,0.5,0.5714285714285716,0,3,13,10,0
1.0,3.0,0.0,0.4,0.25,0.5,0.2857142857142856,3,2,10,4,1
0.0,4.0,0.0,0.5,0.5,0.5,0.2857142857142856,1,4,11,8,0
1.0,3.0,1.0,0.5,0.75,0.0,1.2857142857142856,0,2,7,6,1
0.0,2.0,1.0,0.4,0.5,1.0,-0.4285714285714284,2,1,14,4,0
1.0,3.0,1.0,0.4,1.0,0.5,0.5714285714285716,0,4,14,10,0
0.0,4.0,0.0,0.5,0.75,0.5,0.8571428571428572,2,1,15,4,1
0.0,2.0,1.0,0.7,0.25,1.0,0.1428571428571428,3,3,11,2,0
1.0,4.0,0.0,0.4,0.25,0.5,-0.2857142857142856,1,1,14,6,0
1.0,4.0,0.0,0.4,0.75,1.0,1.0,1,0,10,4,1
0.0,2.0,0.0,0.4,0.75,1.0,0.4285714285714284,1,1,8,6,0
1.0,2.0,0.0,0.4,0.25,0.5,0.5714285714285716,2,3,12,4,0
1.0,4.0,0.0,0.5,0.25,0.5,0.2857142857142856,1,1,14,4,0
0.0,4.0,0.0,0.5,0.75,0.0,0.0,1,2,10,10,0
0.0,2.0,0.0,0.4,0.75,0.5,-0.2857142857142856,2,2,13,6,0
1.0,1.0,0.0,0.4,1.0,0.5,0.8571428571428572,2,2,6,6,1
0.0,2.0,1.0,0.4,0.5,0.0,0.5714285714285716,2,2,8,8,1
1.0,1.0,1.0,0.7,0.25,0.5,0.5714285714285716,2,0,11,6,1
1.0,2.0,1.0,0.7,0.5,0.5,1.0,2,2,4,8,1
0.0,1.0,0.0,0.7,0.75,0.5,1.0,0,2,15,6,0
1.0,1.0,1.0,0.4,0.75,0.5,0.8571428571428572,1,1,4,6,1
